Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2020,14998.25,15184.55,14965.85,15099.15,90564044,2836.48
04-FEB-2020,14619.85,14968.55,14619.5,14953.8,100393412,2997.85
03-FEB-2020,14374.55,14602.3,14271.85,14499.75,110868454,3418.66
01-FEB-2020,14820,14885.55,14351.3,14426.35,137791062,3280.86
31-JAN-2020,15318.85,15322.8,14790.55,14838.8,271863397,5683
30-JAN-2020,15473.55,15477.7,15195.65,15244.8,124855431,3101.75
29-JAN-2020,15421.7,15532.6,15399.95,15451.9,104051120,3123.4
28-JAN-2020,15526.9,15529.7,15309.6,15363.35,86877114,2867.5
27-JAN-2020,15642.4,15671.75,15458.45,15489.25,62868591,1793.08
24-JAN-2020,15701.15,15768.7,15649.75,15674.65,87413874,2217.14
23-JAN-2020,15567.1,15771.05,15543.5,15704.85,418584547,6948.42
22-JAN-2020,15797.7,15811,15498.8,15534.6,172578675,3045.66
21-JAN-2020,15843.05,15908.6,15762.75,15776.95,99446413,2623.4
20-JAN-2020,16196.35,16196.35,15833.2,15854.85,145801050,4328.68
17-JAN-2020,15997.7,16101.35,15944.75,16077.65,71973524,3063.59
16-JAN-2020,16045.2,16076.75,15955.15,15974.4,70698637,1821.49
15-JAN-2020,16067.65,16075.4,15941.1,16019,54366189,1890.1
14-JAN-2020,16062.25,16152.75,15994.85,16053.25,67787639,2025.91
13-JAN-2020,15951.75,16090.6,15951.75,16043.35,61976951,2205.65
10-JAN-2020,15972.65,16037.7,15872.55,15940.15,60324836,1733.23
09-JAN-2020,15897.35,15921.15,15820.9,15900.35,63990475,2079.72
08-JAN-2020,15630.25,15760.5,15581.6,15664.95,61598649,2307.14
07-JAN-2020,15819.25,15948.65,15753.95,15793.75,77592436,2614.13
06-JAN-2020,15936.05,15968.3,15690.25,15737.05,80858149,2989.44
03-JAN-2020,16114.3,16169.55,16013.9,16054.8,108524573,3156.83
02-JAN-2020,16007.55,16146.8,15981.25,16128.5,52973197,1915.51
01-JAN-2020,15936.4,16009.65,15910.15,15987.8,40598613,1519.79
31-DEC-2019,15933.2,16028.7,15879.5,15908.2,65087989,2497.39
30-DEC-2019,15952.9,15985.35,15871.4,15962.15,42796583,1969.82
27-DEC-2019,15787.75,15967.5,15771.75,15944.95,50124372,2117.84
26-DEC-2019,15828.75,15881.5,15664.75,15705.3,89159536,3404.84
24-DEC-2019,15972.65,16018.15,15826.4,15861.3,56531231,2139.31
23-DEC-2019,15903.1,16033.3,15902.9,15971.6,84578623,3018.95
20-DEC-2019,16126.85,16184.75,16052.05,16081.15,59277829,2339.81
19-DEC-2019,15941.5,16138.35,15901.8,16112.9,50648127,2169.31
18-DEC-2019,15961,16000.95,15899.2,15956.85,55116295,1855.89
17-DEC-2019,15964.85,16019.05,15907.2,15975.55,63350906,2398.84
16-DEC-2019,16117.25,16141.4,15959.5,15974.2,56212467,1588.77
13-DEC-2019,16028.55,16093.9,15965.35,16068.05,59438406,1845.71
12-DEC-2019,15914.05,16000.4,15843.15,15949.95,85629852,2197.02
11-DEC-2019,15679.1,15866,15661.45,15834.1,101547853,2490.23
10-DEC-2019,15935.85,15965.05,15655.15,15682.65,88729929,1947.53
09-DEC-2019,15836,15988.15,15760,15950.5,53185485,1720.53
06-DEC-2019,15963.4,16008.05,15751.35,15811.75,59690063,1734.6
05-DEC-2019,16086.4,16120,15895.9,15930.1,54132582,2132.21
04-DEC-2019,16062.55,16128.8,15905.15,16031.5,52264995,2292.8
03-DEC-2019,16296.45,16300.25,16096.6,16111.65,51563875,1697.38
02-DEC-2019,16431.5,16431.5,16213.3,16258.5,81515098,3366.77
29-NOV-2019,16381.55,16387.7,16194.65,16232.15,79275614,2613.15
28-NOV-2019,16302.45,16402,16215.15,16367.05,69306490,2089.09
27-NOV-2019,16175.95,16303.3,16144.85,16271.85,60672091,1907.44
26-NOV-2019,16322.25,16381.1,16142.1,16176.05,130111941,4520.07
25-NOV-2019,16243.6,16341.45,16223.25,16274.05,61888042,2116.64
22-NOV-2019,16122.75,16316.15,16120.6,16221.4,76886483,2940.79
21-NOV-2019,16364.9,16364.9,16056.3,16085.45,92627231,3144.63
20-NOV-2019,16348.7,16424.35,16280.55,16337.4,102141678,5058.97
19-NOV-2019,15933.5,16144.65,15891.35,16114.45,63183675,2919.89
18-NOV-2019,15906.75,15982.4,15853.4,15883.2,73545563,2579.4
15-NOV-2019,15935.95,15979.55,15807.3,15856.65,63916457,2011.97
14-NOV-2019,15976.35,15998.1,15829.75,15905,86683200,2303.85
13-NOV-2019,15923.75,16072.8,15899.35,15962.65,85749081,2973.8
11-NOV-2019,15921.75,15982.25,15830.65,15934.65,96475337,2164.16
08-NOV-2019,16167.35,16169.75,15888.05,15911,102241398,2441.38
07-NOV-2019,16255.6,16277.15,16108.9,16194.65,68171922,2033.42
06-NOV-2019,16247.75,16294.15,16159.4,16209.1,55022379,1779.16
05-NOV-2019,16382.6,16422.4,16190.05,16274.8,53652282,1677.31
04-NOV-2019,16431.25,16485.7,16335.4,16373.5,70887328,2039.47
01-NOV-2019,16375.3,16416.95,16296.8,16381.05,66708814,2043.03
31-OCT-2019,16523.8,16544.05,16440.45,16486.15,114684748,3183.1
30-OCT-2019,16486.7,16488.9,16287.4,16463.8,76593414,2445.74
29-OCT-2019,16211.6,16391.05,16152.25,16318.4,83224181,3025.94
27-OCT-2019,16179.25,16199.35,16080.45,16113.75,5877883,299.92
25-OCT-2019,16189.6,16189.6,15990.1,16071.65,64008998,2228.45
24-OCT-2019,16172.05,16172.85,15926.4,16116.3,76064606,2949.37
23-OCT-2019,16253.1,16312,16056.05,16122.5,56255842,2083.8
22-OCT-2019,16271,16376.85,16149.25,16268.9,90977581,3495.55
18-OCT-2019,15979.35,16249.65,15940.4,16183.7,107205608,3720.5
17-OCT-2019,15851.3,15998.65,15763.3,15976.6,74380478,2249.53
16-OCT-2019,15875.65,15942.95,15780.05,15833.35,94497361,3230.33
15-OCT-2019,15668,15810.7,15652.55,15782.85,67626703,1720.35
14-OCT-2019,15579.2,15701.4,15542.2,15610.2,89857910,2454.06
11-OCT-2019,15578,15640.8,15394.35,15510.5,74126053,2241.37
10-OCT-2019,15455.15,15612.3,15438.75,15579.3,74480981,3153.71
09-OCT-2019,15326.45,15492.75,15228.55,15469.95,90826407,2591.01
07-OCT-2019,15468.3,15498.1,15295,15331.6,98657840,2930.43
04-OCT-2019,15730.25,15743.3,15460.25,15525.1,127499276,3750.76
03-OCT-2019,15348.45,15635.85,15245.8,15592.7,106871200,3407.48
01-OCT-2019,15651.95,15789,15236.4,15386.35,127039841,4188.7
30-SEP-2019,15397.15,15543.45,15297.8,15501.6,91340671,3152.06
27-SEP-2019,15426.15,15477.7,15351.8,15383.45,84472172,2715.57
26-SEP-2019,15281.15,15475.45,15246.8,15446.9,165740446,4034.2
25-SEP-2019,15118.8,15278.6,15080,15179.2,152568463,4138.79
24-SEP-2019,15029.35,15246.85,14961.4,15100.85,154262889,4954.66
23-SEP-2019,15092.8,15162.85,14875.45,14999.5,186737091,4480.32
20-SEP-2019,14290,15093.8,14120.25,14859.05,250565958,6609.07
19-SEP-2019,14526.5,14532.3,14231.15,14281.95,96198067,2060.72
18-SEP-2019,14458.65,14528.85,14332.15,14489.55,116539425,2785.4
17-SEP-2019,14521.1,14521.1,14313.8,14336.15,107623912,2514.49
16-SEP-2019,14448.9,14587.2,14429.5,14533.45,140357294,3434.03
13-SEP-2019,14435.55,14755.7,14353.85,14727.15,111458449,2337.35
12-SEP-2019,14614.05,14688.9,14366.7,14404.65,110371657,1892.74
11-SEP-2019,14582.95,14733.15,14542.9,14585.1,87259782,1692.17
09-SEP-2019,14570,14687.95,14510.65,14617.85,68595812,1384.46
06-SEP-2019,14380.8,14615.4,14332.25,14591.4,103235058,2567.07
