Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2010-01-04,222.17849731445312,223.65820488991432,220.7072813960477,221.95738203904045,4069264
2010-01-05,222.9226531982422,223.7177755874956,221.1155285472091,222.80783932737577,6895528
2010-01-06,219.6697540283203,228.16535471960455,218.989424979585,228.16535471960455,6817288
2010-01-07,214.73318481445312,219.967472355202,214.1506445647265,219.967472355202,10892600
2010-01-08,209.5583953857422,214.58433560057523,209.0311444139084,214.21865450717465,12649312
2010-01-11,211.7227020263672,213.00257555417514,210.39181626305233,210.48536983781594,7849656
2010-01-12,219.99722290039062,220.5967672258605,212.60289825160032,212.60289825160032,24859680
2010-01-13,228.2080078125,229.1859813879961,210.6342561715405,210.6342561715405,19704040
2010-01-14,228.73944091796875,229.85772377334015,225.37605916976773,227.82524852467265,8413904
2010-01-15,227.5531768798828,228.9733603291519,225.71202301093362,228.73949710133195,5049504
2010-01-18,228.47586059570312,228.76075683187577,225.86935693139853,226.46464514620266,6140088
2010-01-19,224.16001892089844,228.59067232546107,223.4967143831295,227.91034294354006,5837512
2010-01-20,226.01390075683594,227.33203881835274,224.3385939536314,225.24427405884,6091992
2010-01-21,223.25001525878906,226.60914056990515,221.10698250384388,224.763751829869,6682792
2010-01-22,219.03207397460938,221.9574822946867,217.02509379924925,221.10707048512853,13486496
2010-01-25,216.20010375976562,218.55148307804146,214.1335998156581,216.85491641379198,6498712
2010-01-27,212.7943115234375,215.48162135452355,211.34009891168995,215.32428685277,9840856
2010-01-28,211.90130615234375,217.27164699313178,210.85955196337366,213.70843076586328,12732872
2010-01-29,210.5194091796875,212.60291777387144,204.50700281744315,208.55494991465545,15012280
2010-02-01,208.4571075439453,215.15409774041066,203.25684981047348,208.09568267619957,12308784
2010-02-02,207.4961395263672,212.687905629458,205.93988240594706,212.687905629458,9889384
2010-02-03,210.32379150390625,212.60289873069974,208.35084075608572,208.35084075608572,6405608
2010-02-04,206.5692901611328,210.05172246004253,205.16185442706583,209.6265165441315,6176408
2010-02-05,200.07638549804688,203.96701958930714,198.06091362940208,203.2824339192085,13544872
2010-02-08,204.4049835205078,207.67055644730914,199.37904160143992,201.96428510499047,9252480
2010-02-09,210.3748321533203,211.07216553411067,203.60980351734264,204.4389548525391,10387392
2010-02-10,209.7922821044922,212.2797359941187,208.18075630104903,211.83752612169653,7187984
2010-02-11,212.4710235595703,214.14632979798367,210.05160737599903,210.30673078576746,6453888
2010-02-15,212.4881134033203,216.20866463087532,210.46415014513406,213.19821548526693,8950128
2010-02-16,216.12782287597656,216.93996999720167,211.6036379245539,212.602871420229,4418096
2010-02-17,214.18893432617188,218.2496501900787,213.75949302765537,216.87198738969863,7991184
2010-02-18,215.46453857421875,216.5998464274323,213.62340566380448,214.55885847523035,3721696
2010-02-19,215.35829162597656,216.38729828378987,213.04091930204916,214.7204827294828,5998992
2010-02-22,218.4154815673828,220.40118028688255,217.28868614591408,217.28868614591408,5855400
2010-02-23,219.51675415039062,220.17156694099737,217.28016745239407,217.54380335762647,3786032
2010-02-24,219.09156799316406,220.96247371241137,216.94002226362886,218.38572213759267,5427016
2010-02-25,222.58253479003906,223.63278087758195,218.60685973198997,218.60685973198997,8729568
2010-02-26,221.27284240722656,223.65825110083549,219.58478783615718,222.72279833957725,10546368
2010-03-02,224.5937042236328,225.4228555360828,223.033190628221,223.79006941165864,8534656
2010-03-03,226.74111938476562,227.61279176120965,223.88372650937302,225.45275339658306,5904976
2010-03-04,223.13101196289062,226.5496626294479,221.4471927504063,226.3795803001465,6755240
2010-03-05,224.1429901123047,224.50867126714795,222.2168160670297,223.98991186585835,4984808
2010-03-08,226.17124938964844,227.85506871969122,224.3471204329373,225.6142255698963,8664992
2010-03-09,228.24624633789062,229.73872303862686,222.62503740221786,225.36335895103616,7958752
2010-03-10,226.14573669433594,228.88405828098078,225.35910585315042,227.47662273164786,7330952
2010-03-11,228.1612548828125,229.1860053671901,225.35915184528895,226.63476968592266,4298424
2010-03-12,227.33631896972656,229.95133507683178,225.8948752191867,229.60265795774893,3176920
2010-03-15,229.71746826171875,230.67418145670047,224.16853173082487,225.73328100714846,10582856
2010-03-16,232.3621826171875,233.43368859515817,228.1058691250857,229.61109325066258,5881344
2010-03-17,232.86819458007812,234.17782003804547,230.71664924598858,232.5875546213707,6352000
2010-03-18,237.0607147216797,237.59645734957004,233.01274773362434,233.01274773362434,8923048
2010-03-19,235.76385498046875,237.69002884141372,234.71784461885593,236.42292393342797,12582544
2010-03-22,234.4924774169922,236.1592923947988,233.25938064359477,234.04177589562718,4108528
2010-03-23,236.03176879882812,238.03023630622226,235.0665432085402,235.56829857185463,4792560
2010-03-25,239.30154418945312,244.06810488499028,233.93545998524436,235.64903088373103,15207528
2010-03-26,235.97650146484375,240.24130788227055,234.96875528450036,239.47593734388454,9105680
2010-03-29,231.0271453857422,235.56410127282226,229.63247814510407,234.54360697127936,13981704
2010-03-30,224.85733032226562,230.88674001642067,223.70927470892428,230.88674001642067,10649936
2010-03-31,222.46340942382812,227.62965968654564,221.66828706693153,225.69071716394032,13070104
2010-04-01,227.09817504882812,227.74023999733777,222.8078524245799,222.82485650518876,8187000
2010-04-05,227.73605346679688,228.7608039715621,224.33866203605234,227.82535086981966,7318616
2010-04-06,225.46536254882812,228.33550153459822,224.95511561802454,228.08037806919643,5348808
2010-04-07,224.82752990722656,227.46806164491966,222.5866874036355,225.83101958318383,8380880
2010-04-08,226.5283660888672,227.7316900713155,223.65822724119033,224.5086387516131,7227984
2010-04-09,227.58721923828125,229.41560474866898,226.6347621015507,227.05996803419902,8260312
2010-04-12,228.17398071289062,229.4410858920737,225.53344812574204,228.41207938886754,8325648
2010-04-13,236.5759735107422,237.5922318913246,224.08343653041223,228.76069991150243,57635400
2010-04-15,238.25135803222656,240.21579666679375,234.65411227022028,237.0947897772914,22395128
2010-04-16,237.1458282470703,238.88065990741987,235.6533514775901,237.4434723587385,6244344
2010-04-19,234.02474975585938,235.95943606200422,232.67260367526623,235.95943606200422,8754896
2010-04-20,231.9327392578125,237.26055915466029,231.31193469245113,235.18130712940206,9542128
2010-04-21,230.6698455810547,233.8418843866489,229.63660399211886,233.26785666790724,6496288
2010-04-22,231.17588806152344,234.95598434795127,229.01585083670977,230.2914682754586,6978144
2010-04-23,231.9030303955078,234.17788185012068,231.0441269763902,232.58761601368968,5888336
2010-04-26,232.9235076904297,234.20338144732665,231.74144373592938,232.17090579548673,4454288
2010-04-27,232.79592895507812,233.2168785621552,231.85621994566188,232.08584769679737,3280256
2010-04-28,229.56863403320312,232.32821579462987,228.8542965236395,230.47007872279895,5544496
2010-04-29,230.38925170898438,232.4089792712557,227.4851043821403,229.5260922345408,11319960
2010-04-30,232.85546875,234.61158134823992,227.66372198864278,230.63165048394796,8067024
2010-05-03,229.17742919921875,230.88250872434404,228.08040646620722,230.29147677497733,5408952
2010-05-04,226.73248291015625,230.12138147803913,225.8268028510469,230.0363403171086,6576208
2010-05-05,229.01583862304688,230.29145599376565,221.95742250506956,225.30803582735697,12122080
2010-05-06,226.05213928222656,228.78622488989748,224.98063317967816,228.78622488989748,7808360
2010-05-07,222.53997802734375,224.96365119817605,221.70657046883244,224.34710275998185,8984392
2010-05-10,227.54466247558594,228.23350428178452,222.8078732912232,222.8078732912232,5635408
2010-05-11,226.27328491210938,227.44260095741296,224.16851603056293,227.0429116252372,5802824
2010-05-12,228.0548553466797,229.51755902266618,225.55039754873187,225.86930187178126,9185176
2010-05-13,230.13412475585938,231.5670765937503,226.3157850110606,228.2504713836305,4923880
2010-05-14,225.52064514160156,231.90724459758638,223.65825203214234,230.46154486962197,6824496
2010-05-17,222.49742126464844,225.19322156915499,219.07025876482487,224.08343040847026,8170824
2010-05-18,223.5902099609375,226.20948179730664,219.580527639143,226.20948179730664,7144600
2010-05-19,221.34938049316406,225.55891770173315,220.54998117211403,223.31807494348237,11939240
2010-05-20,221.17079162597656,224.0451869182242,219.95895512470955,222.12750465329262,6508872
2010-05-21,219.55502319335938,221.787353728394,217.56506827835815,218.3857071988174,7127200
2010-05-24,221.1410675048828,223.65829463908327,219.34245492313897,222.04251228237507,7186104
2010-05-25,215.44326782226562,219.9887344630474,213.46182539114704,219.9887344630474,8838128
2010-05-26,224.22476196289062,225.83732327947675,218.68126784679532,219.43409164526892,7868856
2010-05-27,226.1324005126953,227.89895122101248,222.00472618971713,224.80213031023087,11312696
2010-05-28,229.0496368408203,229.64418905319042,225.61490576507967,228.41659234870886,6793992
2010-05-31,227.38577270507812,233.97294520255403,224.52420649207437,233.97294520255403,7020752
2010-06-01,224.507080078125,227.34297753964012,223.92963319255867,227.1291083227637,5782888
2010-06-02,225.8672332763672,226.8681368274173,224.4856467750638,225.41810801372128,6557144
2010-06-03,230.8076629638672,231.47493910953938,227.5568508094465,227.5568508094465,5517096
2010-06-04,233.4553680419922,234.2295788255431,229.47740039575854,230.80767117286896,4950400
2010-06-07,228.55340576171875,231.83416699579405,226.70130720990932,231.83416699579405,7781952
2010-06-08,227.08633422851562,230.03772941814978,226.5174504665191,228.55346870040083,6651144
2010-06-09,224.55836486816406,228.24119644673286,223.8354911929822,228.24119644673286,5427120
2010-06-10,226.32057189941406,227.04344530813597,224.18188081700885,224.57966900407416,5187448
2010-06-11,225.05455017089844,230.20023456310452,224.22046032421355,227.97599497194483,9912864
2010-06-14,234.9481201171875,236.01320535159468,226.70989593881052,226.70989593881052,9728848
2010-06-15,233.9472198486328,237.82253365693774,232.8693316879162,234.95668657869766,7946312
2010-06-16,236.91574096679688,237.77978090485075,234.57174284623161,235.6752995841308,5720064
2010-06-17,236.52647399902344,238.14759810153328,234.05841546704556,237.4803221259205,5639240
2010-06-18,238.35296630859375,240.81674392266223,231.65031742388672,231.65031742388672,8356232
2010-06-21,239.60194396972656,241.1418021946147,238.7849594566115,239.48216468750363,7164752
2010-06-22,236.71900939941406,239.4779222625943,236.11161247681983,238.67804304722006,4763688
2010-06-23,239.34097290039062,239.95691189362154,232.5057230168773,235.0079921464766,4948088
2010-06-24,241.47540283203125,242.4164271977452,238.08344608624506,240.76535299713294,12316104
2010-06-25,237.62579345703125,240.555801582088,237.05262816152535,240.3889877783783,3345664
2010-06-28,240.30337524414062,240.98775651931086,236.96701652768584,236.96701652768584,3834168
2010-06-29,238.98175048828125,240.69698582774865,236.71901829415577,238.93897664383402,3773072
2010-06-30,238.7635040283203,240.27341177799835,233.71619240608064,237.6513845183353,9449976
2010-07-01,236.7146453857422,238.76350756698724,235.34160133170258,238.76350756698724,5847248
2010-07-02,233.331298828125,237.39053209531647,232.34750050126033,237.39053209531647,11169440
2010-07-05,234.69573974609375,235.42717646639,232.68965115864128,233.54512781731276,3616720
2010-07-06,238.25888061523438,239.44798515616986,234.6573144992404,234.6573144992404,5872600
2010-07-07,237.97225952148438,239.499293968123,236.55644123629708,239.499293968123,5923392
2010-07-08,241.9716033935547,243.50289845125496,239.54205773107012,240.04678066901695,6278192
2010-07-09,245.84690856933594,246.42007380532468,242.79286079894194,242.79286079894194,7859112
2010-07-12,247.73751831054688,248.94374895355654,243.8108881503904,243.81516971152587,8597240
2010-07-13,239.25547790527344,245.9538655346215,237.908101923506,245.52184556650923,25502384
2010-07-14,234.6487579345703,240.30346877587357,234.14403490194587,238.6737810529301,14193928
2010-07-15,236.07742309570312,237.480396913403,234.40067995054906,235.16632762945846,8328136
2010-07-16,237.56590270996094,238.76357020651818,235.3416630734975,235.68385378679957,8205560
2010-07-19,237.00564575195312,238.91764539858022,234.0371444326736,235.170651574676,7047120
2010-07-20,236.08163452148438,238.03640726243296,235.55552467101856,237.0055535947299,5054736
2010-07-21,237.10824584960938,237.73702972329525,236.11162361867395,236.73612593074068,2634480
2010-07-22,235.64111328125,236.51797710812707,233.2928333561614,236.51797710812707,8226952
2010-07-23,238.37432861328125,245.52612301117895,236.5393350555348,238.42138401438532,5323096
2010-07-26,239.9141845703125,240.38897836663915,238.67802478395845,238.67802478395845,4470816
2010-07-27,241.9972686767578,242.44211241230835,239.79013447131274,239.79013447131274,5093960
2010-07-28,242.27960205078125,242.8270988692344,240.56008526344448,242.01439587847952,3725168
2010-07-29,242.3694305419922,242.95544057511077,240.46173375586878,241.65511985902518,3613008
2010-07-30,238.54112243652344,242.20684856958098,236.11157688372396,240.81669888684166,4472672
2010-08-02,239.2725067138672,240.62844538423255,237.92084960333398,239.53343123573765,3815232
2010-08-03,238.1904296875,241.15893025669797,236.9243197395974,239.96126263569982,2434584
2010-08-04,245.90684509277344,247.40392972979677,238.67806498828944,238.67806498828944,9536024
2010-08-05,245.45767211914062,248.66999156614304,244.79895918367686,246.37730964646687,6594296
2010-08-06,244.99143981933594,247.40388011636705,243.98197306081562,244.7519021483147,3676480
2010-08-09,245.91957092285156,246.6253391134265,240.92359596443936,243.68250798214135,4201544
2010-08-10,242.01869201660156,245.52186567903507,240.81674281759013,245.52186567903507,4811984
2010-08-11,240.4659881591797,244.48672950043405,239.53352671302753,242.44214810882858,5344800
2010-08-12,237.19802856445312,239.19129352092665,235.59829125773678,239.19129352092665,6973400
2010-08-13,237.58724975585938,239.36236378320083,235.6838142325655,237.39476751193078,5561808
2010-08-16,236.2740936279297,237.65141942377895,235.25608474276174,236.11156141455362,5193608
2010-08-17,235.29888916015625,237.5231287959185,233.54516175503602,235.6838537124997,5140640
2010-08-18,240.15367126464844,241.2016301115598,235.95327275664195,236.54784570892738,6128144
2010-08-19,239.92703247070312,241.6721967941724,238.50265106262395,240.81671999136117,4826744
2010-08-20,236.93280029296875,239.79008369590954,235.5982484832447,239.79008369590954,4624824
2010-08-23,239.8030242919922,240.38903438488475,236.22286561734094,237.1382218202493,4511832
2010-08-24,236.56072998046875,238.59248744798026,235.7009715907678,238.59248744798026,5247552
2010-08-25,237.04408264160156,239.01596104640623,235.76514887063556,236.28271656522702,3502008
2010-08-26,236.59494018554688,238.07491927264266,235.02943430145896,237.39481937265393,7834984
2010-08-27,231.82569885253906,235.9405514876461,229.38758945536793,235.9405514876461,6973800
2010-08-30,231.01724243164062,234.0584668190875,228.0957973349302,232.63410621409272,4781168
2010-08-31,232.16358947753906,233.03189011175854,228.93842509748976,229.69553045156817,7722280
2010-09-01,237.4932098388672,238.20754140042177,231.68453007638436,232.16360549182613,10131800
2010-09-02,235.51278686523438,240.73119587314548,234.9053899215225,239.44798054333128,3402512
2010-09-03,237.60440063476562,239.87569572541838,236.2057085923016,236.2057085923016,7606688
2010-09-06,242.2410888671875,242.95542037643344,238.30163476292546,238.35723240275976,6391192
2010-09-07,245.08985900878906,245.76995899135406,240.40612281463933,242.95544824447893,8321272
2010-09-08,246.3260040283203,246.94196408934133,241.67221816378668,244.4097441748455,9386496
2010-09-09,247.6605224609375,248.08826084169905,244.49525844330202,245.53039367901022,7591392
2010-09-13,251.24502563476562,251.93797034209615,246.5484653738272,247.23284695709947,6650488
2010-09-14,254.55577087402344,256.6431266162337,252.36574117262978,252.41707815222148,9767144
2010-09-15,261.16424560546875,261.77590316873784,253.99106421829498,254.50435030293954,14344648
2010-09-16,253.7301483154297,259.3848585627682,253.07143532801416,259.3848585627682,7088984
2010-09-17,254.08946228027344,257.7124152943628,253.16982461573753,253.73016616056478,8616488
2010-09-20,257.37884521484375,258.1829853238105,254.50443384305376,254.50443384305376,5025976
2010-09-21,261.70318603515625,262.2036483348574,256.35219517326544,257.9262641858385,9223912
2010-09-22,257.8664245605469,262.0240300600766,256.16829443850247,261.81872394368054,10806440
2010-09-23,258.60211181640625,259.61586032880683,254.33757186823127,257.0750980336557,11181376
2010-09-24,260.84344482421875,261.66469003776496,256.0998091618126,258.60207885344164,8791520
2010-09-27,259.43182373046875,261.7758210945029,258.6405079314086,261.3480828247406,7210320
