Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2026,50915.05,51403.1,50615.9,50731.65,40929473,2646.36
04-FEB-2026,50938.2,51244.9,50725.9,50922.75,38019545,2442.52
03-FEB-2026,51534.7,51840.25,50505.55,50806.65,77476447,4345.07
02-FEB-2026,50103.9,50696.45,49336.5,50623.2,57563966,3107.72
01-FEB-2026,51316.6,51324.8,49741.65,50042.8,43610476,2144.28
30-JAN-2026,50420.5,51339.45,50311.5,51215.2,75452496,5148.54
29-JAN-2026,50971.45,51002,50076.05,50523.9,42216434,2926.87
28-JAN-2026,51449.75,51579.25,50510.65,50985.45,61624018,4063.35
27-JAN-2026,51692.2,51741.4,51126.75,51349.75,76513419,4978.38
23-JAN-2026,52135.6,52217.5,51594.1,51662.05,30881010,2342.76
22-JAN-2026,51582.05,52095.3,51560.5,51978.4,39834200,3020.83
21-JAN-2026,51563.35,51962,51217.2,51402.5,40376442,2942.28
20-JAN-2026,52586.15,52616.85,51595.65,51713,35714472,2597.28
19-JAN-2026,52015.05,52669.95,51902.3,52489.95,28509359,1999.4
16-JAN-2026,52510.9,52601.45,52038.6,52142.5,47136445,2908.66
14-JAN-2026,52608.8,52608.8,52162.35,52258.65,26039797,1811.77
13-JAN-2026,52816.4,53007.15,52326.25,52577.15,39774248,2569.48
12-JAN-2026,52381.25,52814.85,52271.75,52745.5,31655137,2244.03
09-JAN-2026,52918.25,53083.5,52332.65,52438.15,49138749,2648.08
08-JAN-2026,53419.65,53515.65,52922.1,53010.15,54950898,3195.55
07-JAN-2026,53636.2,53782.6,53319.6,53493.8,49749623,3003.86
06-JAN-2026,53538.8,53637.75,53152.7,53561.95,94291569,4548.65
05-JAN-2026,53054.95,53573.75,52885.6,53441.1,69990031,4068.36
02-JAN-2026,53562.5,53579.4,52741.85,53078.8,139149781,6094.03
01-JAN-2026,55538.45,55552.9,53478.7,53718.5,291601241,11656.15
31-DEC-2025,55069,55559.05,55055.1,55475.65,27680076,2091.98
30-DEC-2025,55231.35,55246.95,54918.55,55033.15,37502069,3127.13
29-DEC-2025,55143.25,55227.15,54969.4,55192.45,22639491,1786.17
26-DEC-2025,55083.85,55233.35,54957.25,55132.05,15260529,1221.68
24-DEC-2025,55363.15,55383.4,55019.95,55113.75,16052695,1200.15
23-DEC-2025,55103.6,55431,54912.5,55348.65,24533934,1790.9
22-DEC-2025,54885.05,55133.8,54821,55062.65,25426454,1785.74
19-DEC-2025,54507,54854.85,54507,54781.35,26739056,1924.33
18-DEC-2025,54623,54683.8,54323.9,54546.45,21437892,1714.19
17-DEC-2025,54772.2,54938.9,54515.75,54603.4,26151330,1982.16
16-DEC-2025,54799.45,55324.9,54699.95,54863.45,33449229,2448.85
15-DEC-2025,54473.45,54930.8,54264.75,54868.4,21882812,1745.42
12-DEC-2025,54671.05,54744.7,54236.05,54490.8,30154017,2416.66
11-DEC-2025,54485.4,54712.3,54246.9,54619.65,18475519,1337.95
10-DEC-2025,54545.1,54903.95,54447.2,54506,21372933,1966.95
09-DEC-2025,54448.2,54723.3,54134.5,54521.2,30164443,2146.51
08-DEC-2025,55235.95,55282.55,54377.6,54540.5,20146016,1829.32
05-DEC-2025,55147.25,55254.2,54476.65,55202.85,25281051,2511.32
04-DEC-2025,54932.5,55266.25,54709.05,55209.3,23495127,2160.54
03-DEC-2025,55415.55,55447.3,54732.35,54949.1,25402615,2455.29
02-DEC-2025,55463.5,55678.95,55269.1,55390.95,23270992,2067.37
01-DEC-2025,55515.65,55695.35,55248,55500.5,26663331,2029.83
