Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2026,22138.9,22163.85,21919,22119.9,14720096,2098.09
04-FEB-2026,22275.8,22323.75,22009.85,22125.8,18214139,2555.51
03-FEB-2026,22470.35,22564.1,22086.05,22200.25,32396446,4271.13
02-FEB-2026,21629.8,21640.6,21188.55,21549.55,20520846,2504.95
01-FEB-2026,21874.7,21917.75,21436.7,21535.3,17440057,1627.1
30-JAN-2026,21544.5,21768.9,21396.35,21715.1,28223553,3730.04
29-JAN-2026,21781.05,21798,21467.35,21564,39232686,3455.48
28-JAN-2026,21828,21903.85,21622.95,21739.85,19478277,2428.03
27-JAN-2026,21891.8,21898.35,21632.8,21788.45,26700390,2979.25
23-JAN-2026,22007.05,22033.5,21676.4,21722.25,24837385,3131.47
22-JAN-2026,21738.2,22030.55,21726.4,21928,22518155,2920.49
21-JAN-2026,21743.95,21970.4,21477.95,21584.4,22934385,2841.55
20-JAN-2026,22128.45,22130.4,21668.6,21714.3,29817433,3112.94
19-JAN-2026,22119.15,22213.2,21910.4,22136.25,20105067,2472.76
16-JAN-2026,22456.6,22484.35,22175.2,22217.05,22142755,2992.28
14-JAN-2026,22571.05,22580.85,22413.9,22505.4,19297515,2572.59
13-JAN-2026,22708.05,22742.7,22392.25,22562.3,20442563,2255.91
12-JAN-2026,22758,22769.8,22392.5,22668.45,17724681,2397.24
09-JAN-2026,22961.1,22989.85,22696.45,22761,16394250,2293.13
08-JAN-2026,23260.25,23260.25,22927.3,22962.55,18166790,2495.3
07-JAN-2026,23117.05,23492.55,23021.8,23286.25,32875246,4287.74
06-JAN-2026,22791.05,23149.95,22764.85,23126.85,17554414,2621.68
05-JAN-2026,22810.45,22930.7,22706.05,22743.4,16653325,1803.27
02-JAN-2026,22649.65,22803.65,22578.7,22790.9,13771199,1365.19
01-JAN-2026,22735.3,22742.7,22546.05,22632.75,9252354,1118.8
31-DEC-2025,22620.7,22770.1,22536.15,22723.65,13157985,1816.62
30-DEC-2025,22604.5,22615.95,22395.15,22540.05,25377401,4353.57
29-DEC-2025,22697.25,22721.25,22552.6,22578.3,16053386,1799.21
26-DEC-2025,22761.9,22807.9,22631.6,22684.65,12241302,1646.23
24-DEC-2025,22903.15,22934.3,22717.45,22757.4,16075054,2096.49
23-DEC-2025,22980.6,23005.75,22820.3,22875.1,13387523,1617.6
22-DEC-2025,22780.3,22943.7,22765.15,22927.9,16743139,1727.6
19-DEC-2025,22583.55,22863.2,22583.55,22751.25,24858645,3124.86
18-DEC-2025,22601.2,22601.2,22394.25,22557.6,16510556,1998.82
17-DEC-2025,22585.6,22650.5,22515.65,22612.15,13236506,1649.13
16-DEC-2025,22700.75,22712.2,22558.35,22591.5,12689205,1488.02
15-DEC-2025,22736.75,22794.5,22588.9,22719.4,11247881,1354.82
12-DEC-2025,22825.65,22882.8,22742.1,22808.7,18236403,1746.58
11-DEC-2025,22541.8,22799.35,22475.2,22783.45,14517158,1495.85
10-DEC-2025,22583.8,22703.85,22488.2,22561.5,16975451,2276.29
09-DEC-2025,22607.95,22660.2,22405.05,22522.85,20987795,2396.95
08-DEC-2025,22938.1,22946.7,22556.3,22640.7,21676723,2420.27
