Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2019,8410.6,8489.7,8408.25,8468.3,54040095,2102.94
04-FEB-2019,8444.75,8446,8325.75,8395.55,54660012,2355.51
01-FEB-2019,8265.5,8657.8,8254.15,8441.25,114415843,5253.56
31-JAN-2019,8145.15,8236.55,8083.9,8218.4,82045633,2905.39
30-JAN-2019,8149.25,8176.45,8080.2,8118.4,46436797,2254.3
29-JAN-2019,8127.65,8178.75,8059.45,8120.45,58347276,2543.98
28-JAN-2019,8259.55,8264.6,8092.85,8143,55235426,3137.57
25-JAN-2019,8538.7,8587.7,8241.1,8259.8,59732289,3576.47
24-JAN-2019,8623.2,8632.1,8510.4,8537.25,63934687,1723.43
23-JAN-2019,8679.85,8693.7,8594.2,8612.25,44701045,1911.71
22-JAN-2019,8726.05,8726.05,8580,8675.15,66674234,2841.14
21-JAN-2019,8859.65,8867.2,8725.25,8746.85,33802275,1606.48
18-JAN-2019,8898.95,8907.65,8806.05,8844.8,30451018,1278.1
17-JAN-2019,8893.2,8920.8,8850.25,8878.2,34385129,1640.58
16-JAN-2019,8894.1,8916.4,8856.75,8866.75,36040650,1307.08
15-JAN-2019,8877.35,8902.3,8845.5,8888.4,39982618,1519.01
14-JAN-2019,8859.1,8863.55,8752.1,8849.7,42617093,1448.16
11-JAN-2019,8942.05,8950.3,8816.9,8862.35,55529471,1802.7
10-JAN-2019,8924.65,8964.15,8908.05,8933.35,65217864,1945.68
09-JAN-2019,8893.9,8925.6,8827.9,8907.1,63915954,2223.18
08-JAN-2019,8813.9,8882.3,8781.8,8859.65,69837622,2725.2
07-JAN-2019,8891.9,8901.6,8809.9,8820,74853665,2538.93
04-JAN-2019,8807.4,8871.1,8754.05,8809.35,65040904,2844.59
03-JAN-2019,8900.05,8959.35,8755.75,8767.35,57987411,3274.09
02-JAN-2019,9121.95,9121.95,8885.3,8902.65,80074426,3965.22
01-JAN-2019,9244,9244,9139.45,9182.45,31141851,1479.15
31-DEC-2018,9285.8,9304.2,9224.25,9235.55,35140049,1505.92
28-DEC-2018,9227.2,9282.8,9214.2,9223.8,34918177,1520.97
27-DEC-2018,9308.6,9315.65,9166.25,9184.1,47504735,2093.3
26-DEC-2018,9163.65,9270.3,9058.7,9227,40043919,1730.75
24-DEC-2018,9345.35,9345.85,9194.5,9206.75,41999923,1814.91
21-DEC-2018,9545.3,9579.6,9317,9337.25,71951752,3154.77
20-DEC-2018,9454.15,9537.4,9418.85,9524.55,51698638,2283.08
19-DEC-2018,9443.05,9516.05,9418.45,9507.7,52011996,2583.86
18-DEC-2018,9306.65,9416.85,9283.7,9403.8,51869599,2295.97
17-DEC-2018,9304.65,9364.5,9278.3,9335.8,60111665,2175.34
14-DEC-2018,9250.8,9314.4,9202.9,9271.5,69258138,2466.87
13-DEC-2018,9200,9307.7,9188.7,9254.2,47834858,2655.91
12-DEC-2018,8889.4,9175.7,8866.65,9166.15,74832475,3301.89
11-DEC-2018,8671.85,8880.6,8650.95,8846.8,50653062,2200.77
10-DEC-2018,8720.3,8850.1,8685.25,8784.25,48501539,1954.08
07-DEC-2018,8855.8,8875.9,8788.65,8869.8,50023839,2016.89
06-DEC-2018,8928.45,8933.45,8771.95,8791.4,60319323,2843.33
05-DEC-2018,9164.5,9164.5,8977.75,8992.9,81993308,2793.04
04-DEC-2018,9274.25,9276.85,9199,9212.2,54733491,2232.31
03-DEC-2018,9311.65,9311.65,9214.1,9260.6,82056015,2825.49
30-NOV-2018,9205.55,9292.5,9196.35,9270.2,68136201,2762.33
29-NOV-2018,9166.6,9236.05,9128.05,9202.1,70342756,2847.37
28-NOV-2018,9189.55,9227.6,9081.95,9096.45,54504652,2125.03
27-NOV-2018,9154.15,9173.75,9098.6,9165,48199332,2164.21
26-NOV-2018,9089.4,9174.5,9006.05,9158.8,51369113,2249.24
22-NOV-2018,9126.1,9137.65,9043.4,9062.65,55605288,1990.53
21-NOV-2018,9154.75,9178.75,9084.75,9119.3,56970396,2142.27
20-NOV-2018,9200.8,9238.35,9114.4,9133.65,65411295,2105.81
19-NOV-2018,9159.2,9225.9,9140.95,9207.65,65507729,2155.97
16-NOV-2018,9128.5,9183.4,9068.45,9112.35,65973010,2368.32
15-NOV-2018,9086.9,9144.1,9030.35,9108.25,91015239,2888.28
14-NOV-2018,9150.8,9225.75,9029.65,9051.4,156111369,3942.17
13-NOV-2018,8979.5,9142.05,8961.6,9126.9,61853732,2497.2
12-NOV-2018,9291,9326.7,9024,9051.5,54578397,1896.13
09-NOV-2018,9234.2,9345.35,9185.65,9277.75,66235104,2557.27
07-NOV-2018,9219.3,9230.9,9188,9219.5,10834576,371.27
06-NOV-2018,9198.85,9255.1,9093.7,9130.45,71836842,2184.49
05-NOV-2018,9199.9,9223.2,9106.95,9153.65,59364486,2326.99
02-NOV-2018,8907.4,9225.35,8904.2,9180.2,99243853,4324.09
01-NOV-2018,8874.75,8922,8784.6,8814.2,79337655,2658.36
31-OCT-2018,8785.3,8833.85,8600.55,8820.55,55692518,2665.77
30-OCT-2018,8745.8,8840,8709.05,8744.6,56432554,2046.9
29-OCT-2018,8615.25,8739.2,8574.15,8723.9,48060975,1779.4
26-OCT-2018,8590.65,8686.45,8497.7,8578.05,56223243,2180.95
25-OCT-2018,8573,8640.25,8507.7,8580.95,59523999,3437.4
24-OCT-2018,8758.2,8787.15,8569.85,8663.9,59529047,2512.82
23-OCT-2018,8648.05,8719.05,8577.75,8649.15,55653605,2347.35
22-OCT-2018,8774.3,8791.05,8652.6,8700.45,42064414,1761.99
19-OCT-2018,8772.95,8819.95,8614.5,8690.25,50277435,2280.17
17-OCT-2018,9206.55,9216.55,8820.4,8834.7,56170615,2675.78
16-OCT-2018,9072.7,9181.15,9055.45,9102.9,59111525,2344.79
15-OCT-2018,9148.1,9151.5,8953.05,9034.6,43654898,2088
12-OCT-2018,8847.45,9123.55,8835.45,9084.45,61535890,2849.47
11-OCT-2018,8699.5,8871.35,8599.45,8739.5,68375366,2884.29
10-OCT-2018,8784.35,8981.25,8777.1,8961.95,91826655,3855.48
09-OCT-2018,8935.1,8960.75,8672.2,8732.9,203122341,5159.24
08-OCT-2018,8907,9011.5,8747.25,8969.1,66059956,3288.78
05-OCT-2018,9130.25,9200.5,8837.35,8915.1,62468874,3318.66
04-OCT-2018,9248.1,9303.45,9099.95,9207,55786936,3669.45
03-OCT-2018,9640.85,9640.85,9346.9,9375.3,51277651,3263.44
01-OCT-2018,9589.65,9679.85,9400.85,9659.55,65288340,2837.49
28-SEP-2018,9863.1,9896.9,9456.6,9590.25,65121603,3510.07
27-SEP-2018,10022.8,10056.25,9791.65,9815.4,63407859,3768.68
26-SEP-2018,10186.65,10199.75,9971.6,10002.2,57469412,2561.19
25-SEP-2018,9987.7,10136.1,9852.25,10100.45,58205712,3080.26
24-SEP-2018,10413.45,10419.85,9973.15,10001,57867086,3703.84
21-SEP-2018,10616.75,10635.65,9934.85,10407.4,67399083,3846.49
19-SEP-2018,10609,10655.15,10484.8,10527.9,32797609,2091.27
18-SEP-2018,10717.1,10757.55,10554.1,10565.65,42363453,1992.56
17-SEP-2018,10772.25,10791.15,10695.15,10730.8,36229326,1673.25
14-SEP-2018,10772,10857.2,10759.9,10826.7,47800211,2333.6
12-SEP-2018,10719.3,10727.8,10529.65,10692.75,48088906,2301.77
11-SEP-2018,10885.3,10905.85,10656.75,10681.4,46476929,2323.83
10-SEP-2018,11019.25,11023.25,10825.8,10843.9,47802179,2373.87
07-SEP-2018,10845.3,11053.1,10816.05,11036.65,66661396,3247.73
06-SEP-2018,10864.65,10864.65,10721.3,10798.55,42255202,2252.79
