Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2010-05-06,83.28389739990234,2010-06-11,86.0650405883789,3.3393528344650014
2010-10-20,103.27758026123048,2011-02-17,96.64681243896484,-6.420336151848023
2011-05-03,98.86003112792967,2011-05-31,106.10765075683594,7.331192946447178
2011-07-28,108.48797607421876,2011-09-16,107.68653106689452,-0.7387408598865951
2011-10-05,97.66814422607422,2011-10-28,107.45277404785156,10.018240747084008
2011-11-17,102.26547241210938,2012-01-06,100.91853332519533,-1.3171005375950873
2012-05-09,114.13167572021484,2012-06-06,115.74576568603516,1.4142348788228887
2013-01-16,148.20849609375,2013-02-20,151.89964294433594,2.490509618457423
2013-02-28,140.3212127685547,2013-04-12,144.4387664794922,2.934377226149676
2013-06-11,149.19577026367188,2013-07-12,157.4221954345703,5.513846107272329
2013-07-29,143.111083984375,2013-09-10,144.3555145263672,0.8695556677692803
2013-11-13,143.3826141357422,2013-12-05,155.69129943847656,8.584503342282197
2014-01-28,145.81492614746094,2014-02-19,151.6072540283203,3.9723833724687836
2014-08-08,181.66262817382807,2014-09-01,191.94200134277344,5.65849634142104
2015-02-26,236.8813323974609,2015-05-26,234.42845153808597,-1.0354893036734858
2015-08-12,246.08726501464844,2015-09-21,242.06419372558597,-1.6348149055267027
2015-11-09,244.78846740722656,2016-01-01,250.29429626464844,2.2492190566569694
2016-01-12,240.6848297119141,2016-03-15,236.029541015625,-1.9341845108647702
2016-10-13,292.6780700683594,2016-11-10,296.3402099609375,1.2512518931544057
2016-11-18,280.7762756347656,2016-12-29,279.3392333984375,-0.5118104202640799
2018-03-07,427.5793151855469,2018-04-02,450.5845031738281,5.380332296546714
2018-08-06,496.45599365234375,2018-11-19,472.8811950683594,-4.748617981333759
2019-01-29,483.142333984375,2019-03-12,509.7696228027344,5.511272133569755
2019-07-22,542.7669067382812,2019-09-20,568.115966796875,4.670340019609358
2019-12-05,589.9009399414062,2019-12-18,612.0411376953125,3.7532060477993805
2020-01-27,574.5567626953125,2020-06-03,484.1251220703125,-15.73937450510106
2020-08-03,474.5350036621094,2020-08-21,514.150634765625,8.348305351089289
2020-09-22,490.3528442382813,2020-10-06,541.831787109375,10.498346950767985
