Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2021-04-12,647.4182739257812,2021-05-18,699.34716796875,8.020918799230833
2021-07-20,686.416259765625,2021-08-10,717.0948486328125,4.4693855121763315
2021-09-22,729.4852905273438,2021-09-24,761.7572631835938,4.423937408377439
2021-12-20,678.0926513671875,2022-01-05,744.3013305664062,9.763957634067726
2022-02-24,675.1199340820312,2022-03-29,690.530517578125,2.282643826396225
2022-09-26,686.4579467773438,2022-10-31,720.1636962890625,4.910096775768172
2023-01-10,754.6154174804688,2023-01-23,805.0418090820312,6.682396149541652
2023-03-15,741.91259765625,2023-04-05,795.7311401367188,7.254027314064354
2023-05-05,782.2103881835938,2023-06-22,799.9166870117188,2.263623584601273
2023-10-25,728.3251953125,2023-11-16,734.0924072265625,0.7918457237481648
2024-01-17,748.279296875,2024-04-02,720.367919921875,-3.7300747287396345
2024-05-09,704.4776000976562,2024-05-30,747.3234252929688,6.0819286786937035
2025-01-06,843.84375,2025-02-04,848.9744873046875,0.6080198265007591
2025-08-28,957.7999877929688,2025-09-18,976.9000244140624,1.9941571167802274
