Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2022-01-21,1603.0330810546875,2022-03-08,1596.3001708984375,-0.4200106807415478
2022-04-11,1585.8421630859375,2022-07-06,1353.243896484375,-14.667176344267615
2022-08-29,1326.118408203125,2022-10-07,1316.54736328125,-0.7217338106967125
2022-12-16,1396.0511474609375,2023-02-01,1422.556396484375,1.8985872452913932
2023-02-27,1384.220458984375,2023-05-22,1185.6622314453125,-14.344407803706924
2023-06-23,1175.7598876953125,2023-06-30,1241.286376953125,5.573118282360819
2023-10-25,1289.8814697265625,2023-11-16,1360.3514404296875,5.463290415208746
2024-03-04,1541.39892578125,2024-05-16,1368.306884765625,-11.229542081579835
2024-10-31,1706.740234375,2024-11-22,1847.572265625,8.251521140331704
2025-01-17,1763.2672119140625,2025-04-30,1456.9815673828125,-17.370347639979688
2025-07-25,1492.84619140625,2025-10-23,1505.4532470703125,0.8444979621233951
