Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2010-05-07,222.53997802734372,2010-06-14,234.9481201171875,5.575691253244924
2011-01-13,277.879638671875,2011-03-25,274.22540283203125,-1.3150426772213901
2011-05-25,241.7661895751953,2011-06-07,252.5855865478516,4.475148899714605
2011-06-20,236.60548400878903,2011-07-06,257.92529296875,9.010699413530505
2011-08-05,226.2707977294922,2011-09-29,222.7690887451172,-1.5475744194623424
2011-11-21,234.4497985839844,2012-01-02,246.6415863037109,5.200169841629944
2012-01-13,226.9072723388672,2012-02-02,242.08013916015625,6.6868138094003635
2012-04-12,241.52264404296875,2012-05-31,216.25765991210935,-10.460710311851575
2012-07-12,201.5740203857422,2012-08-10,205.90481567382807,2.148488818052174
2012-10-12,213.23101806640625,2012-11-27,221.3348846435547,3.800510193420669
2013-04-09,247.82534790039065,2013-05-16,208.96763610839844,-15.679474323833265
2014-03-13,306.1102600097656,2014-06-16,299.8300476074219,-2.0516177413143213
2014-12-08,366.9791564941406,2015-01-09,386.4070434570313,5.294002838878092
2015-03-09,407.9398193359375,2015-06-22,387.2078247070313,-5.082120853672645
2015-07-08,362.1150817871094,2015-07-21,420.7909851074219,16.203661838864967
2015-11-16,412.2756958007813,2015-12-16,418.2488403320313,1.448822861034313
2016-02-11,411.6842346191406,2016-03-08,444.0494079589844,7.8616499292924304
2016-07-15,414.1223754882813,2016-12-08,384.2607421875,-7.210823434877723
2017-01-06,379.4216003417969,2017-02-13,384.14361572265625,1.2445299309806324
2017-04-07,383.0509033203125,2017-05-12,376.2996215820313,-1.7625024976473367
2017-06-19,368.4371032714844,2017-07-11,386.4656982421875,4.893262597773352
2017-08-18,365.8219604492188,2017-10-10,370.656005859375,1.321420235193132
2018-04-09,446.46136474609375,2018-04-23,477.1763916015625,6.87966065617719
2018-10-11,554.3192138671875,2018-12-12,564.6414794921875,1.8621518732838243
2019-03-08,596.0698852539062,2019-04-01,631.841552734375,6.00125394109303
2019-07-05,609.2846069335938,2019-07-15,661.3452758789062,8.54455673963656
2019-08-13,648.9558715820312,2019-09-04,696.9435424804688,7.3945969209667
2019-09-23,648.6165161132812,2019-11-11,605.267822265625,-6.68325470763766
2020-02-28,628.7259521484375,2020-04-30,614.8057861328125,-2.2140275851597986
2020-08-31,808.777099609375,2020-09-14,852.1511840820312,5.362921934066279
