Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2010-04-19,1175.9990234375,2010-06-04,1174.0130615234375,-0.16887445265536366
2010-07-26,1051.6729736328125,2010-08-13,1102.6036376953125,4.842823324304827
2010-11-15,1274.4691162109375,2011-03-01,1144.83984375,-10.17123685557262
2011-06-17,1033.3052978515625,2011-07-27,1072.553466796875,3.7983129503852227
2011-08-24,994.956787109375,2011-10-25,1027.76513671875,3.2974647778113404
2011-11-17,845.5571899414062,2012-01-17,989.466552734375,17.019471243919185
2012-05-11,1102.7548828125,2012-06-29,1044.28076171875,-5.3025492795475815
2012-07-23,964.11279296875,2012-08-10,1040.75439453125,7.9494434802074245
2013-02-14,1334.385498046875,2013-04-12,1265.386474609375,-5.170846321283698
2013-05-31,1442.5108642578125,2013-07-01,1442.3763427734375,-0.00932550927054631
2013-07-12,1300.8741455078125,2013-09-17,1243.25927734375,-4.428934833013521
2014-01-27,1538.3050537109375,2014-03-10,1627.5867919921875,5.803903332818856
2015-02-09,3096.0654296875,2015-03-02,3368.478759765625,8.798694222221942
2015-04-21,3167.62890625,2015-04-28,3469.357666015625,9.525382192664319
2016-01-07,3896.7080078125,2016-03-21,3350.3984375,-14.019771797558485
2016-04-07,3169.1171875,2016-05-03,3487.717529296875,10.05328370479752
2016-11-09,4958.1533203125,2016-12-29,4886.3037109375,-1.4491203626287115
2018-02-02,8348.427734375,2018-04-02,8364.771484375,0.19577039557644998
2018-04-27,8155.98193359375,2018-06-12,8372.7109375,2.6573011768645896
2018-09-06,8206.4560546875,2018-11-09,6823.373046875,-16.853596712097026
2019-01-25,6101.92333984375,2019-04-11,6733.765625,10.35480536162274
2019-06-17,6165.861328125,2019-08-20,5880.74169921875,-4.624165444748221
2020-02-18,6441.32177734375,2020-05-28,5194.34912109375,-19.35895611729899
2020-09-21,6351.51953125,2020-10-13,6740.5966796875,6.125733322919158
