Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
2010-04-23,150.03317260742188,2010-05-27,145.66799926757812,-2.9094721280511084
2010-12-21,192.21652221679688,2010-12-24,212.48651123046875,10.545393694517994
2011-01-27,207.1664886474609,2011-03-01,200.3200225830078,-3.3048134904211537
2011-08-09,216.2576446533203,2011-10-20,221.0187530517578,2.2015907951230895
2012-05-11,258.2320251464844,2012-06-20,273.65087890625,5.970930116440494
2012-07-24,275.12042236328125,2012-07-30,291.8731384277344,6.08923027979802
2012-09-05,295.93292236328125,2012-09-28,316.47625732421875,6.941888991897603
2013-01-16,327.3052062988281,2013-02-08,339.4765625,3.7186564609850667
2013-08-07,475.0668640136719,2013-09-11,510.8301086425781,7.528044437104127
2013-11-05,541.0474853515625,2014-01-07,543.1959838867188,0.3970998097810575
2014-03-11,530.443359375,2014-04-09,575.9228515625,8.57386399201729
2014-05-19,534.099853515625,2014-06-12,577.0199584960938,8.035970183843746
2014-09-15,728.3055419921875,2014-11-05,798.0866088867188,9.58129011398897
2014-12-17,743.0033569335938,2015-01-16,778.1687622070312,4.732873000542907
2015-02-26,792.7750854492188,2015-03-04,921.5311889648438,16.241189446899245
2015-06-01,803.7186279296875,2015-07-02,797.7201538085938,-0.7463400638784896
2015-07-21,737.4173583984375,2015-08-14,822.0794677734375,11.48089455866264
2015-11-05,749.7080078125,2015-12-15,710.9338989257812,-5.171894722033708
2016-03-17,760.0905151367188,2016-04-21,765.2819213867188,0.6829984254001924
2016-05-23,720.8570556640625,2016-05-27,757.977294921875,5.14945910096099
2016-06-01,693.2926025390625,2016-06-24,693.4763793945312,0.026507834469270193
2016-09-29,676.9794921875,2016-11-29,649.9777221679688,-3.9885654338333616
2016-12-15,597.9517211914062,2017-01-13,600.7576904296875,0.46926351055406534
2017-02-01,575.5037231445312,2017-02-06,621.1358032226562,7.929067744130826
2017-04-07,612.6717529296875,2017-06-27,500.5240783691406,-18.30469154555871
2017-07-31,489.1162109375,2017-09-14,482.67620849609375,-1.3166610096734583
2018-02-01,513.3812255859375,2018-04-27,485.4569396972656,-5.439288485238439
2018-05-11,437.2029113769531,2018-06-08,489.2542724609375,11.905538533595463
2018-07-16,494.5335083007813,2018-08-02,537.5545654296875,8.699320957386018
2018-10-05,555.4788818359375,2019-01-08,416.2259826660156,-25.068981688317482
2019-01-18,362.9958801269531,2019-03-05,423.5184020996094,16.673060297954148
2019-04-22,422.21783447265625,2019-07-15,392.9087524414063,-6.941696829992164
2019-09-30,364.1388854980469,2019-10-24,379.5665283203125,4.236746866834791
2020-01-31,406.073974609375,2020-04-07,393.0427856445313,-3.2090677511108936
2021-01-28,532.49365234375,2021-02-11,612.6264038085938,15.048583417312598
