Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2010-01-04,134.28285217285156,137.01332132787354,133.7260685309091,137.01332132787354,831170
2010-01-05,138.31845092773438,138.86633105178615,134.79066297501657,135.58798114090808,1231990
2010-01-06,140.11351013183594,140.88854872932316,136.4877415730741,138.53224978576995,1882490
2010-01-07,137.97991943359375,140.6613987226474,136.59910658288572,140.6613987226474,923100
2010-01-08,140.30506896972656,142.98209002060923,138.0868508523319,138.5990892661334,3298080
2010-01-11,140.28282165527344,142.03780563801462,139.40532966390285,141.26276678033202,1032970
2010-01-12,140.0244140625,141.62795385368065,137.9041909545493,140.2827693142372,1534080
2010-01-13,137.8863525390625,140.18921563426375,136.15364893566004,138.52776837398565,934880
2010-01-14,138.92869567871094,140.84404017043644,138.10465290862874,139.86409521249735,1520300
2010-01-15,135.86416625976562,139.64139288106577,135.40983552103347,138.5278251547415,1165560
2010-01-18,135.0935516357422,137.8908325070561,134.51894702937864,135.85522796013407,1561220
2010-01-19,132.3720245361328,136.03343590328717,131.23173222847294,136.03343590328717,852620
2010-01-20,131.25401306152344,133.07580831822585,130.58141377259383,131.85088376034338,1596560
2010-01-21,130.49676513671875,133.07579159703224,129.61927329268698,131.222813412917,1417400
2010-01-22,127.57028198242188,129.17382179929047,124.71955208207353,129.17382179929047,3423490
2010-01-25,128.68389892578125,129.70838951094862,124.71960007077458,128.68389892578125,2196320
2010-01-27,126.59037780761719,128.7150600224055,124.97792040756468,127.92665900786639,2767580
2010-01-28,128.83534240722656,132.7328299059288,125.61935789313453,126.94673567201558,3399690
2010-01-29,131.22726440429688,135.85525825117207,126.50128965027172,126.50128965027172,3314050
2010-02-01,134.20718383789062,135.84636594624916,127.71286250521749,128.83979255845082,2688440
2010-02-02,134.83966064453125,137.01779158435474,132.30072133240623,135.23163857557472,2939510
2010-02-03,133.75729370117188,136.7461054240067,133.36977433956505,135.0534880580548,1224590
2010-02-04,133.55238342285156,134.96439312073522,130.95554976071338,134.69713417806287,5378300
2010-02-05,131.302978515625,133.60138360685292,129.7083557395514,132.73725408673937,3625520
2010-02-08,134.6748504638672,135.67706117141373,131.0535269323293,133.44992626575475,1833970
2010-02-09,137.40086364746094,138.171457230955,133.18266952382507,135.23163638901605,1626630
2010-02-10,134.47889709472656,136.83075163378984,133.89538868248582,136.74611939750855,1390320
2010-02-11,135.44097900390625,136.70153131976446,134.5189419342044,135.32070502494824,841350
2010-02-15,136.1314239501953,137.1870839698679,134.16264384088217,135.30738112180782,790530
2010-02-16,137.5879669189453,139.24049745533,136.0868663538142,136.31403849740394,1686250
2010-02-17,137.3474578857422,139.8641184448199,136.22052779359942,137.45881466794347,1427580
2010-02-18,137.6458740234375,138.88416078599215,136.5768517294852,138.88416078599215,491460
2010-02-19,138.0690155029297,139.30284346875047,135.1559189528697,136.48775500129287,1234270
2010-02-22,136.81739807128906,139.57903810491058,136.40759913304015,139.15143186878439,589910
2010-02-23,139.8997039794922,140.6302107728171,136.7460868501472,136.7460868501472,1664490
2010-02-24,136.0779571533203,140.03335133978393,135.58798470349186,139.5077507087653,1546110
2010-02-25,135.46775817871094,137.63698617422182,134.0735690564426,135.40985047560983,1763060
2010-02-26,137.16481018066406,140.6658603534977,134.42988150273214,135.23165836812936,1603740
2010-03-02,138.21157836914062,139.67702373778562,136.40314543448216,137.8151417261786,1616660
2010-03-03,139.13804626464844,140.6213259622869,136.3051367345375,137.36970032185175,2654430
2010-03-04,141.36070251464844,142.09120930043815,138.09572867073246,138.83959772244012,1249950
