Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,222.17855834960938,223.65826633156436,220.7073420270429,221.95744301345363,4069264
2010-01-05,222.9226531982422,223.7177755874956,221.1155285472091,222.80783932737577,6895528
2010-01-06,219.66978454589844,228.16538641743236,218.98945540264856,228.16538641743236,6817288
2010-01-07,214.73313903808594,219.96742546300044,214.150598912544,219.96742546300044,10892600
2010-01-08,209.55844116210938,214.58438247481917,209.03119007510182,214.21870130153846,12649312
2010-01-11,211.7227020263672,213.00257555417514,210.39181626305233,210.48536983781594,7849656
2010-01-12,219.99722290039062,220.5967672258605,212.60289825160032,212.60289825160032,24859680
2010-01-13,228.2079620361328,229.18593541545667,210.63421392030162,210.63421392030162,19704040
2010-01-14,228.73941040039062,229.85769310656485,225.37602910091968,227.82521812906273,8413904
2010-01-15,227.55311584472656,228.9732989130688,225.7119624696185,228.7394357479765,5049504
2010-01-18,228.47586059570312,228.76075683187577,225.86935693139853,226.46464514620266,6140088
2010-01-19,224.15992736816406,228.59057896313357,223.49662310130583,227.91024985907663,5837512
2010-01-20,226.013916015625,227.33205416613274,224.3386090993161,225.24428926566958,6091992
2010-01-21,223.25001525878906,226.60914056990515,221.10698250384388,224.763751829869,6682792
2010-01-22,219.03199768066406,221.9574049817539,217.0250182043816,221.10699346841386,13486496
2010-01-25,216.2001495361328,218.55152935226968,214.13364515448137,216.85496232880362,6498712
2010-01-27,212.79420471191406,215.4815131941123,211.33999283010456,215.32417877133236,9840856
2010-01-28,211.90130615234375,217.27164699313178,210.85955196337366,213.70843076586328,12732872
2010-01-29,210.51947021484375,212.60297941309204,204.50706210944344,208.5550103802629,15012280
2010-02-01,208.45713806152344,215.15412923841072,203.2568795667474,208.09571314086602,12308784
2010-02-02,207.49620056152344,212.6879681917764,205.93994298332905,212.6879681917764,9889384
2010-02-03,210.3238067626953,212.60291415483582,208.3508558717391,208.3508558717391,6405608
