Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-01-04,74.94451904296875,75.94629781177753,74.36673736225278,74.69407099858692,6100980
2010-01-05,75.01042938232422,75.79251977466473,74.91376592220485,75.13345438531982,16773200
2010-01-06,75.06096649169922,75.57283770413716,74.17122411820579,75.3092088443553,13279680
2010-01-07,75.25647735595703,77.69941192712463,74.76437735726418,77.69941192712463,12247960
2010-01-08,75.35535430908203,75.7222303485624,74.73803016224394,75.22134083820792,14171800
2010-01-11,75.05216979980469,76.83164766993217,74.80392076685295,76.83164766993217,27533220
2010-01-12,74.4831771850586,75.212537775275,73.75380989048246,75.04557910502194,9814100
2010-01-13,74.22394561767578,74.46560428323659,73.1804253519743,74.03281771539231,20693500
2010-01-14,73.9822998046875,75.30043077616794,73.37595741241104,75.13346537438495,20345280
2010-01-15,74.43704986572266,74.65014797420395,73.41989776478704,74.62378642748227,23163460
2010-01-18,77.62252807617188,78.12122521905327,73.90760176065456,74.25470661086963,47002920
2010-01-19,78.17394256591797,78.59574736855453,77.01837909484688,77.55002812996214,33328440
2010-01-20,77.15899658203125,78.64848436979881,76.58341377470424,78.42879586597256,27304220
2010-01-21,75.20594787597656,77.3698805568861,74.9181565285234,77.3698805568861,25046940
2010-01-22,73.68790435791016,74.69407452959652,72.6729380664636,74.51832644774129,18947400
2010-01-25,72.79157257080078,73.72304948350725,71.67555815865394,72.93656775700956,12057580
2010-01-27,70.17729187011719,72.98491050767015,69.72473411649746,72.98491050767015,24215580
2010-01-28,70.00373077392578,71.13512507212863,69.28095381853866,70.7396885013805,34864460
2010-01-29,71.66455841064453,71.92598816971037,68.21325517115375,69.42154149463634,32870340
2010-02-01,70.28932189941406,71.53056029468794,69.641238293488,71.53056029468794,15034660
2010-02-02,69.38200378417969,70.95497379766343,69.07004325371365,70.6078623127534,20669400
2010-02-03,71.29991149902344,71.7239154677599,69.33370312935018,70.30033134446415,15455340
2010-02-04,71.03627014160156,71.39436343061337,69.66321716493677,71.09119226066815,17210480
2010-02-05,69.12939453125,70.21245740402838,68.76251172643248,70.21245740402838,18693880
2010-02-08,68.8679428100586,69.81040150308321,68.05948415898685,69.64124379764904,15181200
2010-02-09,69.05467987060547,69.32929048214638,68.169335527172,68.8415817678753,23947500
2010-02-10,70.01692199707031,71.06703278948108,68.71856211973136,69.2018795155527,27733360
2010-02-11,70.21244049072266,71.75025987135143,69.86093757713543,70.47606264764275,14539380
2010-02-15,70.90665435791016,71.16588514944236,69.5314023585976,70.16849759541887,9604980
2010-02-16,70.58151245117188,71.29769901970292,69.86093452674339,70.519999946807,14349700
2010-02-17,72.75862884521484,72.97831732707984,70.9549882863242,71.09119407238282,24796680
2010-02-18,73.98009490966797,74.25470550695701,72.53014961510978,73.15187176181392,20008840
2010-02-19,74.42608642578125,74.69410672396528,72.76524153026796,73.37597542883647,14691980
2010-02-22,74.54469299316406,75.55965264837705,74.25470260471462,74.73801991879701,13280340
2010-02-23,74.738037109375,75.08294299010777,73.91859651704216,74.03723019494218,12945780
2010-02-24,74.716064453125,75.13347128606421,74.14487297966862,74.25471723593479,11211380
2010-02-25,74.30083465576172,74.86982698160257,73.90319906625766,74.73801926469733,11673940
2010-02-26,74.90498352050781,76.2209220967547,73.815330518644,74.25470748601688,18702060
2010-03-02,76.66908264160156,77.15459902316753,74.9577141615097,75.74858734821808,15429300
2010-03-03,78.06189727783203,78.25303186904769,76.56362708101344,76.56362708101344,22295920
2010-03-04,78.25963592529297,78.51666771308122,77.02717996730544,77.98941665963473,27028840
2010-03-05,78.3848648071289,78.8681822547804,77.81367999272864,78.45296771506682,20899300
2010-03-08,78.39364624023438,79.52723974386922,77.89714806770856,79.52723974386922,14745920
2010-03-09,79.57994842529297,79.74691380620528,77.98940606391977,77.98940606391977,24795380
2010-03-10,79.72274017333984,79.96219976530391,76.00780789670887,79.61508828017506,29921120
2010-03-11,80.27196502685547,80.62566020913548,79.22404684179415,79.79084679062115,15490460
2010-03-12,79.14277648925781,80.42355740313482,78.48810239230708,80.27417084281923,14944880
2010-03-15,79.63926696777344,79.96660063266033,78.20909292644802,78.20909292644802,15025920
2010-03-16,79.28997039794922,79.52283965406107,77.50609428064416,79.3075425267069,20872500
2010-03-17,79.4261703491211,80.1775011528858,79.00436554196409,79.28996457208538,9589680
2010-03-18,79.12738037109375,79.63266780354408,78.6704313677698,79.63266780354408,7003940
2010-03-19,79.95999145507812,80.17748083721332,78.98457437101989,79.73810401392072,12679680
2010-03-22,80.71793365478516,81.5044153598216,78.9999683581006,79.17571643724052,30611220
2010-03-23,82.77861022949219,83.04223906700439,80.62566597246193,80.62566597246193,20308760
2010-03-25,84.6305923461914,84.79975005579006,82.17227781211128,82.60286533931881,46592800
2010-03-26,85.74222564697266,86.3639411455624,84.05721191964733,84.84370049587761,23105720
2010-03-29,86.33977508544922,87.43601849861687,71.56791654696893,71.56791654696893,26453420
2010-03-30,83.78258514404297,86.55286005227052,83.54312553223487,86.33756295245828,18739960
2010-03-31,84.95354461669922,85.36655336010129,83.36080301072968,83.48162900254164,13652160
2010-04-01,85.2061767578125,85.67850564034234,84.62839499323255,85.67850564034234,14818440
2010-04-05,85.61261749267578,86.10032626708649,84.55371723495392,86.06517529995149,14247680
2010-04-06,84.92717742919922,85.67851504955259,84.59764467900864,85.67851504955259,8842880
2010-04-07,84.87663269042969,85.58842111206606,84.62399231769474,85.23911728647194,10756100
2010-04-08,83.60464477539062,84.79535924935162,83.20920820560764,84.79535924935162,12477660
2010-04-09,85.64994812011719,85.98607123221056,83.0642170789471,83.0642170789471,12415300
2010-04-12,85.86304473876953,86.46498902871508,85.18200910973809,85.18200910973809,9141280
